22:00:34 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:34 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:34 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:35 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:35 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:35 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:35 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:36 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:36 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:36 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:36 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:37 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:37 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:37 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:37 13/09, info: cam1: 14 fps, 12kb/s, 
22:00:38 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:38 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:38 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:38 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:39 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:39 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:39 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:39 13/09, info: cam1: 14 fps, 16kb/s, 
22:00:40 13/09, info: cam1: 14 fps, 20kb/s, 
22:00:40 13/09, info: cam1: 14 fps, 20kb/s, 
22:00:40 13/09, info: cam1: 14 fps, 20kb/s, 
22:00:40 13/09, info: cam1: 14 fps, 20kb/s, 
22:00:41 13/09, info: cam1: 14 fps, 20kb/s, 
22:00:41 13/09, info: cam1: 14 fps, 20kb/s, 
22:00:41 13/09, info: cam1: 14 fps, 20kb/s, 
22:00:41 13/09, info: cam1: 14 fps, 20kb/s, 
22:00:42 13/09, info: cam1: 14 fps, 29kb/s, 
22:00:42 13/09, info: cam1: 14 fps, 29kb/s, 
22:00:42 13/09, info: cam1: 14 fps, 29kb/s, 
22:00:42 13/09, info: cam1: 14 fps, 29kb/s, 
22:00:43 13/09, info: cam1: 14 fps, 14kb/s, 
22:00:43 13/09, info: cam1: 14 fps, 14kb/s, 
22:00:43 13/09, info: cam1: 14 fps, 14kb/s, 
22:00:43 13/09, info: cam1: 15 fps, 14kb/s, 
22:00:44 13/09, info: cam1: 15 fps, 19kb/s, 
22:00:44 13/09, info: cam1: 15 fps, 19kb/s, 
22:00:44 13/09, info: cam1: 15 fps, 19kb/s, 
22:00:44 13/09, info: cam1: 13 fps, 19kb/s, 
22:00:45 13/09, info: cam1: 13 fps, 13kb/s, 
22:00:45 13/09, info: cam1: 13 fps, 13kb/s, 
22:00:45 13/09, info: cam1: 13 fps, 13kb/s, 
22:00:45 13/09, info: cam1: 13 fps, 13kb/s, 
22:00:46 13/09, info: cam1: 16 fps, 15kb/s, 
22:00:46 13/09, info: cam1: 16 fps, 15kb/s, 
22:00:46 13/09, info: cam1: 16 fps, 15kb/s, 
22:00:46 13/09, info: cam1: 16 fps, 15kb/s, 
22:00:47 13/09, info: cam1: 14 fps, 9kb/s, 
22:00:47 13/09, info: cam1: 14 fps, 9kb/s, 
